,CRN,Course
644,42663,ARE 138
645,42664,ARE 138
646,42664,ARE 138
647,42665,ARE 138
648,42665,ARE 138
649,42666,ARE 140
650,42667,ARE 145
651,42670,ARE 155
652,42670,ARE 155
653,42671,ARE 155
654,42671,ARE 155
655,42672,ARE 155
656,42672,ARE 155
657,42673,ARE 155
658,42673,ARE 155
659,74817,ARE 155
660,74817,ARE 155
661,74818,ARE 155
662,74818,ARE 155
663,42674,ARE 157
664,42675,ARE 171A
665,42675,ARE 171A
666,42676,ARE 171A
667,42676,ARE 171A
668,42677,ARE 171A
669,42677,ARE 171A
670,42678,ARE 171A
671,42678,ARE 171A
672,42679,ARE 171B
673,42679,ARE 171B
674,42680,ARE 171B
675,42680,ARE 171B
676,42681,ARE 171B
677,42681,ARE 171B
678,42682,ARE 171B
679,42682,ARE 171B
680,42683,ARE 176
681,42683,ARE 176
682,42684,ARE 176
683,42684,ARE 176
684,42685,ARE 176
685,42685,ARE 176
686,42686,ARE 176
687,42686,ARE 176
688,@,ARE 192
689,@,ARE 197T
690,@,ARE 198
691,@,ARE 199
692,42865,ARE 200B
693,42865,ARE 200B
694,42866,ARE 202B
695,42868,ARE 215B
696,42868,ARE 215B
697,42869,ARE 232
698,42869,ARE 232
699,42870,ARE 240A
700,42870,ARE 240A
701,74863,ARE 240C
702,74863,ARE 240C
703,42872,ARE 252
704,42872,ARE 252
705,42874,ARE 256B
706,42874,ARE 256B
707,74868,ARE 275
708,42875,ARE 276A
709,42876,ARE 293
710,42876,ARE 293
711,@,ARE 298
712,@,ARE 299
713,@,ARE 299D
714,@,ARE 396
715,43003,ART 002
716,43004,ART 002
717,43005,ART 002
718,43006,ART 005
719,43007,ART 005
720,43008,ART 005
721,43009,ART 007
722,43010,ART 007
723,75053,ART 008
724,43011,ART 009
725,43012,ART 009
726,75056,ART 009
727,43013,ART 010
728,43013,ART 010
729,75233,ART 010
730,75233,ART 010
731,75234,ART 010
732,75234,ART 010
733,75235,ART 010
734,75235,ART 010
735,75236,ART 010
736,75236,ART 010
737,75237,ART 010
738,75237,ART 010
739,43014,ART 011
740,@,ART 098
741,@,ART 099
742,43044,ART 101
743,43045,ART 102A
744,43046,ART 102B
745,75054,ART 103A
746,43047,ART 103B
747,43049,ART 110B
748,43050,ART 114A
749,75058,ART 125A
750,43053,ART 151
751,75055,ART 190
752,@,ART 192
753,43073,ART 195
754,@,ART 198
755,@,ART 199
756,43106,ART 290
757,43107,ART 290
758,43108,ART 291
759,@,ART 299
760,@,ART 299D
761,43137,ASA 003
762,43137,ASA 003
763,43138,ASA 003
764,43138,ASA 003
765,@,ASA 092
766,@,ASA 098
767,@,ASA 099
768,74205,ASA 114
769,74186,ASA 189B
770,@,ASA 192
771,@,ASA 197T
772,@,ASA 198
773,@,ASA 199
774,43220,AST 010G
775,43221,AST 010S
776,43222,ATM 010
777,43222,ATM 010
778,43223,ATM 010
779,43223,ATM 010
780,43224,ATM 010
781,43224,ATM 010
782,43225,ATM 010
783,43225,ATM 010
784,@,ATM 092
785,@,ATM 098
786,@,ATM 099
787,43430,ATM 111
