23,22.0,Term: Winter 18 | ,Name: CHE        124A            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,INORGANIC CHEMISTRY-SOLN.MAN.          ,Author: HOUSECROFT    ,Edition: 3RD 08 ,Published Date: 2008,ISBN: 9780132048491
24,23.0,Term: Winter 18 | ,Name: CHE        124A            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,INTRODUCTION TO MOLECULAR SYMMETRY     ,Author: OGDEN         ,Edition: 01     ,Published Date: 2001,ISBN: 9780198559108
25,24.0,Term: Winter 18 | ,Name: CHE        124B            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,INORGANIC CHEMISTRY CUSTOM EDITION     ,Author: HOUSECROFT    ,Edition: ,Published Date: NA,ISBN: 9781323456941
26,25.0,Term: Winter 18 | ,Name: CHE        124B            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,CHEMISTRY OF ELEMENTS                  ,Author: GREENWOOD     ,Edition: 2ND 97 ,Published Date: 1997,ISBN: 9780750633659
27,26.0,Term: Winter 18 | ,Name: CHE        124B            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,INORGANIC CHEMISTRY                    ,Author: SHRIVER       ,Edition: 6TH 14 ,Published Date: 2014,ISBN: 9781429299060
28,27.0,Term: Winter 18 | ,Name: CHE        128A            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ORGANIC CHEMISTRY                      ,Author: BROWN         ,Edition: 8TH 18 ,Published Date: 2018,ISBN: 9781305580350
29,28.0,Term: Winter 18 | ,Name: CHE        128A            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ORGANIC CHEMISTRY-STUD.S.G.+SOLN.MAN.  ,Author: BROWN         ,Edition: 8TH 18 ,Published Date: 2018,ISBN: 9781305864504
30,29.0,Term: Winter 18 | ,Name: CHE        128B            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ORGANIC CHEMISTRY                      ,Author: BROWN         ,Edition: 8TH 18 ,Published Date: 2018,ISBN: 9781305580350
31,30.0,Term: Winter 18 | ,Name: CHE        128B            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ORGANIC CHEMISTRY-STUD.S.G.+SOLN.MAN.  ,Author: BROWN         ,Edition: 8TH 18 ,Published Date: 2018,ISBN: 9781305864504
32,31.0,Term: Winter 18 | ,Name: CHE        129A            | ,Section: ALL               | ,"Instructor: FILLOUX, C | ",Course ID:                 | ,Required                 ,CHE 129A LAB MANUAL F17                ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050073637
33,32.0,Term: Winter 18 | ,Name: CHE        129A            | ,Section: ALL               | ,"Instructor: FILLOUX, C | ",Course ID:                 | ,Required                 ,EXPERIMENTAL ORG.CHEM.:SMALL SCALE APPR,Author: WILCOX        ,Edition: 2ND 95 ,Published Date: 1995,ISBN: 9780024276919
